customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9675-DFDUA,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.12,1701.01,No
5385-PCIZS,Female,0,No,No,70,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,53.29,3725.88,No
5780-ZQLRI,Male,0,No,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,100.21,1305.63,No
8761-ZLXBD,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.31,405.09,No
1137-IYXVG,Male,1,No,No,32,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.73,3349.73,Yes
6513-NNEYE,Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),90.24,5867.22,No
6768-OVABQ,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.19,488.3,No
5674-QMQHY,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.95,1227.55,No
4862-BBLMF,Female,0,No,Yes,25,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.58,1919.11,No
6377-WZDJO,Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.46,54.73,Yes
3422-CHJPG,Female,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),82.14,2303.1,Yes
8135-ITMNM,Male,0,Yes,No,61,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,46.76,2855.28,No
3095-ZFJBM,Female,0,No,No,55,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),38.2,2100.91,No
8645-WLWST,Female,1,No,No,23,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.91,1494.97,No
3451-OBNTH,Male,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),92.13,4233.76,No
9619-KUIYT,Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.7,2290.18,No
1550-DIMLP,Female,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),107.03,7068.6,No
5361-ZTHIV,Male,1,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),98.44,1472.45,Yes
5728-JRZPU,Female,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.05,941.31,No
7604-ZUUPS,Male,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.68,1488.33,No
5166-VDRAY,Male,0,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),58.49,348.2,No
1031-RKUXW,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,82.28,2468.65,No
7012-IRNIE,Male,0,Yes,Yes,58,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,85.48,4962.12,No
9337-SQSPE,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.81,2200.42,Yes
2529-HHFSI,Female,0,No,Yes,10,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,55.63,552.58,No
3972-DRJZV,Female,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.82,728.73,No
9822-SJLGM,Male,0,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.61,802.67,No
2596-DQPGR,Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),102.16,2346.9,Yes
